#Identifier,Cytoplasmic effector,Apoplastic effector,Non-effector,Prediction
FOXG_22600 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=131,-,Y (0.608),-,Apoplastic effector
FOXG_08181 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=518,-,-,Y (0.941),Non-effector
FOXG_15834 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=546,-,-,Y (0.754),Non-effector
FOXG_16711 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=265,-,Y (0.57),-,Apoplastic effector
FOXG_05429 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=219,Y (0.709),-,-,Cytoplasmic effector
FOXG_12706 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=659,-,-,Y (0.892),Non-effector
FOXG_13577 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=500,-,-,Y (0.881),Non-effector
FOXG_11181 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=383,-,-,Y (0.725),Non-effector
FOXG_08748 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=414,-,-,Y (0.94),Non-effector
FOXG_17199 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=384,-,-,Y (0.841),Non-effector
FOXG_13217 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=395,-,-,Y (0.745),Non-effector
FOXG_00030 | Fusarium oxysporum f. sp. lycopersici 4287 | murein transglycosylase | protein | length=439,-,Y (0.763),-,Apoplastic effector
FOXG_08898 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=511,-,-,Y (0.85),Non-effector
FOXG_16878 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=427,Y (0.508),-,-,Cytoplasmic effector
FOXG_14630 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=243,-,Y (0.845),-,Apoplastic effector
FOXG_11962 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=263,-,Y (0.513),-,Apoplastic effector
FOXG_17685 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1568,-,-,Y (0.827),Non-effector
FOXG_15473 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=397,-,-,Y (0.589),Non-effector
FOXG_04120 | Fusarium oxysporum f. sp. lycopersici 4287 | endoglucanase | protein | length=362,-,-,Y (0.647),Non-effector
FOXG_13248 | Fusarium oxysporum f. sp. lycopersici 4287 | trypsin | protein | length=248,-,Y (0.734),-,Apoplastic effector
FOXG_04451 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=505,-,-,Y (0.701),Non-effector
FOXG_16439 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=235,-,Y (0.81),-,Apoplastic effector
FOXG_03767 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=242,-,-,Y (0.613),Non-effector
FOXG_13418 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1330,-,-,Y (0.702),Non-effector
FOXG_08770 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=411,-,-,Y (0.832),Non-effector
FOXG_11325 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=395,-,-,Y (0.597),Non-effector
FOXG_10547 | Fusarium oxysporum f. sp. lycopersici 4287 | triacylglycerol lipase | protein | length=632,-,-,Y (0.813),Non-effector
FOXG_19520 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=390,Y (0.551),-,-,Cytoplasmic effector
FOXG_10214 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=302,-,-,Y (0.834),Non-effector
FOXG_13012 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=460,-,-,Y (0.942),Non-effector
FOXG_03211 | Fusarium oxysporum f. sp. lycopersici 4287 | beta-fructofuranosidase | protein | length=619,-,-,Y (0.865),Non-effector
"FOXG_14504 | Fusarium oxysporum f. sp. lycopersici 4287 | endo-1,4-beta-xylanase C | protein | length=328",Y (0.527),-,-,Cytoplasmic effector
FOXG_09899 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=484,-,-,Y (0.818),Non-effector
FOXG_19478 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=202,-,-,Y (0.629),Non-effector
FOXG_04408 | Fusarium oxysporum f. sp. lycopersici 4287 | 5'-nucleotidase | protein | length=588,-,-,Y (0.607),Non-effector
FOXG_13189 | Fusarium oxysporum f. sp. lycopersici 4287 | cutinase | protein | length=231,-,-,Y (0.573),Non-effector
FOXG_03136 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=299,-,-,Y (0.744),Non-effector
"FOXG_00155 | Fusarium oxysporum f. sp. lycopersici 4287 | alpha-1,6-mannosyltransferase | protein | length=552",-,-,Y (0.911),Non-effector
FOXG_13489 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=394,-,-,Y (0.812),Non-effector
FOXG_10384 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=147,Y (0.607),Y (0.798),-,Apoplastic/cytoplasmic effector
FOXG_13788 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=530,-,-,Y (0.801),Non-effector
FOXG_02889 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=515,-,-,Y (0.711),Non-effector
FOXG_11988 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=435,-,-,Y (0.694),Non-effector
FOXG_09139 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=300,-,-,Y (0.731),Non-effector
FOXG_08912 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=540,-,-,Y (0.855),Non-effector
FOXG_16978 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=408,-,-,Y (0.867),Non-effector
FOXG_09727 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=522,Y (0.596),-,-,Cytoplasmic effector
FOXG_12956 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=285,-,-,Y (0.649),Non-effector
FOXG_08722 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=271,-,-,Y (0.958),Non-effector
FOXG_12959 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=108,Y (0.957),Y (0.667),-,Cytoplasmic/apoplastic effector
FOXG_14524 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=328,-,-,Y (0.854),Non-effector
FOXG_07346 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=567,-,-,Y (0.947),Non-effector
FOXG_22078 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=381,-,-,Y (0.778),Non-effector
FOXG_07976 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=71,-,-,Y (0.603),Non-effector
FOXG_13582 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=320,-,Y (0.51),-,Apoplastic effector
FOXG_01130 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=221,-,Y (0.594),-,Apoplastic effector
FOXG_11396 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=332,-,-,Y (0.967),Non-effector
FOXG_06922 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=616,-,-,Y (0.884),Non-effector
FOXG_00357 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=831,-,-,Y (0.944),Non-effector
FOXG_07688 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=544,-,-,Y (0.874),Non-effector
FOXG_05591 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=241,-,Y (0.78),-,Apoplastic effector
FOXG_04179 | Fusarium oxysporum f. sp. lycopersici 4287 | chitin synthase | protein | length=744,-,-,Y (0.916),Non-effector
FOXG_02579 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=390,-,-,Y (0.669),Non-effector
FOXG_04008 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=442,-,-,Y (0.618),Non-effector
FOXG_11848 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=341,-,Y (0.705),-,Apoplastic effector
FOXG_04765 | Fusarium oxysporum f. sp. lycopersici 4287 | murein transglycosylase | protein | length=455,-,-,Y (0.611),Non-effector
FOXG_04236 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=557,-,-,Y (0.875),Non-effector
FOXG_19420 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=181,-,-,Y (0.561),Non-effector
FOXG_09780 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=776,-,-,Y (0.881),Non-effector
FOXG_16600 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=164,Y (0.896),-,-,Cytoplasmic effector
FOXG_04201 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=475,-,-,Y (0.868),Non-effector
FOXG_12716 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=110,Y (0.901),Y (0.75),-,Cytoplasmic/apoplastic effector
FOXG_22139 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=400,-,-,Y (0.584),Non-effector
FOXG_08897 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=128,-,Y (0.609),-,Apoplastic effector
FOXG_04002 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=466,Y (0.637),-,-,Cytoplasmic effector
FOXG_05672 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=566,Y (0.655),-,-,Cytoplasmic effector
FOXG_10173 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=304,-,Y (0.78),-,Apoplastic effector
FOXG_03723 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=371,-,Y (0.522),-,Apoplastic effector
FOXG_03435 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=190,-,Y (0.644),-,Apoplastic effector
FOXG_11705 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=743,-,-,Y (0.903),Non-effector
FOXG_10748 | Fusarium oxysporum f. sp. lycopersici 4287 | chitinase | protein | length=432,-,-,Y (0.752),Non-effector
FOXG_16371 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=567,-,-,Y (0.947),Non-effector
FOXG_04321 | Fusarium oxysporum f. sp. lycopersici 4287 | amidohydrolase ytcJ-like | protein | length=656,-,-,Y (0.662),Non-effector
FOXG_18377 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=75,-,-,Y (0.853),Non-effector
FOXG_17498 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=395,-,-,Y (0.629),Non-effector
FOXG_16634 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=231,-,-,Y (0.643),Non-effector
FOXG_09929 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=187,-,-,Y (0.73),Non-effector
FOXG_10188 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=448,Y (0.545),-,-,Cytoplasmic effector
FOXG_02075 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=362,-,-,Y (0.721),Non-effector
FOXG_10040 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=697,-,-,Y (0.987),Non-effector
"FOXG_07525 | Fusarium oxysporum f. sp. lycopersici 4287 | MFS transporter, SIT family, siderophore-iron:H+ symporter | protein | length=460",-,-,Y (0.843),Non-effector
FOXG_16582 | Fusarium oxysporum f. sp. lycopersici 4287 | alpha-glucosidase | protein | length=1026,-,-,Y (0.796),Non-effector
FOXG_20824 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=194,-,-,Y (0.606),Non-effector
FOXG_13336 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=549,-,-,Y (0.892),Non-effector
FOXG_05789 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=227,-,-,Y (0.788),Non-effector
FOXG_02599 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=223,-,Y (0.733),-,Apoplastic effector
FOXG_01124 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=699,-,-,Y (0.809),Non-effector
FOXG_00148 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=171,Y (0.617),-,-,Cytoplasmic effector
FOXG_12372 | Fusarium oxysporum f. sp. lycopersici 4287 | ribonuclease T2 family protein | protein | length=263,Y (0.616),-,-,Cytoplasmic effector
FOXG_00537 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=212,-,-,Y (0.674),Non-effector
FOXG_05576 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=588,-,-,Y (0.928),Non-effector
FOXG_12264 | Fusarium oxysporum f. sp. lycopersici 4287 | pectate lyase | protein | length=163,-,Y (0.766),-,Apoplastic effector
FOXG_13338 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=371,-,-,Y (0.527),Non-effector
FOXG_12191 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=616,-,-,Y (0.879),Non-effector
FOXG_09588 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=95,-,Y (0.755),-,Apoplastic effector
FOXG_17183 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=314,-,-,Y (0.536),Non-effector
FOXG_09793 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=213,Y (0.67),-,-,Cytoplasmic effector
FOXG_10251 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=548,Y (0.537),-,-,Cytoplasmic effector
FOXG_02051 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=356,-,-,Y (0.881),Non-effector
FOXG_12323 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=445,-,-,Y (0.976),Non-effector
FOXG_08211 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=329,-,-,Y (0.642),Non-effector
FOXG_08862 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=455,-,-,Y (0.577),Non-effector
FOXG_06826 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=310,-,-,Y (0.65),Non-effector
FOXG_02504 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=240,-,-,Y (0.534),Non-effector
FOXG_20245 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=546,-,-,Y (0.941),Non-effector
FOXG_03536 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=263,Y (0.549),-,-,Cytoplasmic effector
FOXG_11720 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=365,-,-,Y (0.939),Non-effector
FOXG_00584 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=390,-,-,Y (0.973),Non-effector
FOXG_05453 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=177,-,-,Y (0.749),Non-effector
FOXG_12939 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=300,-,Y (0.649),-,Apoplastic effector
FOXG_07451 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=341,-,-,Y (0.825),Non-effector
FOXG_13242 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=656,-,-,Y (0.816),Non-effector
FOXG_12501 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=271,-,Y (0.587),-,Apoplastic effector
FOXG_09027 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=521,-,-,Y (0.877),Non-effector
FOXG_10071 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=306,-,-,Y (0.519),Non-effector
"FOXG_06360 | Fusarium oxysporum f. sp. lycopersici 4287 | major histocompatibility complex, class I | protein | length=422",-,-,Y (0.934),Non-effector
FOXG_09445 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=444,-,-,Y (0.933),Non-effector
FOXG_09795 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=259,Y (0.512),-,-,Cytoplasmic effector
FOXG_11591 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=566,-,-,Y (0.944),Non-effector
FOXG_06093 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=357,-,-,Y (0.788),Non-effector
FOXG_19415 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=78,-,Y (0.858),-,Apoplastic effector
FOXG_12880 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=275,-,-,Y (0.831),Non-effector
FOXG_12044 | Fusarium oxysporum f. sp. lycopersici 4287 | 2-dehydropantoate 2-reductase | protein | length=283,-,-,Y (0.562),Non-effector
FOXG_07400 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=355,-,-,Y (0.743),Non-effector
FOXG_02380 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=882,-,-,Y (0.902),Non-effector
FOXG_04687 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=163,Y (0.754),Y (0.536),-,Cytoplasmic/apoplastic effector
FOXG_09221 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=274,Y (0.51),-,-,Cytoplasmic effector
FOXG_21086 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=149,-,Y (0.593),-,Apoplastic effector
FOXG_04505 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=299,-,-,Y (0.761),Non-effector
FOXG_11839 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=406,-,-,Y (0.575),Non-effector
